Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1731101074.644788,6844,11,1
2,Payment,1731101074.648797,4954,14,1
5,StockLevel,1731101074.652795,3041,16,1
2,Payment,1731101074.656795,3468,21,1
2,Payment,1731101074.660813,3517,24,1
1,NewOrder,1731101074.664825,8323,22,1
2,Payment,1731101074.668828,3522,13,1
4,Delivery,1731101074.672808,12545,12,1
2,Payment,1731101074.676796,2997,30,1
1,NewOrder,1731101074.680805,5152,19,1
1,NewOrder,1731101074.684815,4989,4,1
1,NewOrder,1731101074.688799,4667,29,1
2,Payment,1731101074.692796,2617,28,1
1,NewOrder,1731101074.696805,5208,10,1
2,Payment,1731101074.700790,3690,9,1
1,NewOrder,1731101074.704799,5735,23,1
3,OrderStatus,1731101074.708796,2618,8,1
3,OrderStatus,1731101074.712797,1202,26,1
2,Payment,1731101074.716810,3887,0,1
1,NewOrder,1731101074.720805,4399,25,1
1,NewOrder,1731101074.724807,4591,3,1
4,Delivery,1731101074.728819,10405,27,1
1,NewOrder,1731101074.732853,7055,1,1
1,NewOrder,1731101074.736895,8217,7,1
2,Payment,1731101074.740829,3246,2,1
1,NewOrder,1731101074.744838,7550,18,1
1,NewOrder,1731101074.748815,4116,5,1
1,NewOrder,1731101074.752852,7396,15,1
1,NewOrder,1731101074.757007,5080,6,1
1,NewOrder,1731101074.760896,5914,20,1
1,NewOrder,1731101074.764865,3853,17,1
1,NewOrder,1731101074.768818,6573,11,1
2,Payment,1731101074.772804,3276,31,1
2,Payment,1731101074.776782,2894,14,1
1,NewOrder,1731101074.780781,6859,16,1
2,Payment,1731101074.784779,3561,21,1
2,Payment,1731101074.788816,3163,24,1
2,Payment,1731101074.792808,4650,13,1
1,NewOrder,1731101074.796783,6805,22,1
1,NewOrder,1731101074.800779,10588,30,1
2,Payment,1731101074.804797,3439,12,1
1,NewOrder,1731101074.808825,7420,19,1
2,Payment,1731101074.812799,4211,4,1
1,NewOrder,1731101074.816820,4807,29,1
2,Payment,1731101074.820811,4472,28,1
1,NewOrder,1731101074.824800,8134,10,1
3,OrderStatus,1731101074.828859,3113,9,1
1,NewOrder,1731101074.832827,7706,23,1
2,Payment,1731101074.836836,4277,8,1
5,StockLevel,1731101074.840810,2261,26,1
5,StockLevel,1731101074.844799,3612,0,1
1,NewOrder,1731101074.848790,7751,25,1
2,Payment,1731101074.852789,3128,3,1
2,Payment,1731101074.856789,4146,27,1
1,NewOrder,1731101074.860796,4757,1,1
1,NewOrder,1731101074.864797,9330,2,1
1,NewOrder,1731101074.868780,6629,7,1
2,Payment,1731101074.872832,3682,18,1
2,Payment,1731101074.876817,3813,5,1
2,Payment,1731101074.880820,3225,15,1
