Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1731100641.077516,10517,25,1
1,NewOrder,1731100641.078436,8891,21,1
2,Payment,1731100641.079441,11973,24,1
2,Payment,1731100641.080478,10859,15,1
2,Payment,1731100641.081437,10175,6,1
1,NewOrder,1731100641.082718,9276,31,1
1,NewOrder,1731100641.083484,7901,9,1
2,Payment,1731100641.084467,9885,13,1
1,NewOrder,1731100641.085439,7565,2,1
1,NewOrder,1731100641.086438,13824,8,1
1,NewOrder,1731100641.087483,13131,27,1
2,Payment,1731100641.088498,9999,26,1
2,Payment,1731100641.089440,9144,16,1
2,Payment,1731100641.090436,8531,20,1
2,Payment,1731100641.091492,6543,14,1
1,NewOrder,1731100641.092439,15027,12,1
1,NewOrder,1731100641.093440,16033,29,1
1,NewOrder,1731100641.094432,14711,28,1
2,Payment,1731100641.095632,11707,19,1
2,Payment,1731100641.096436,5835,7,1
2,Payment,1731100641.097440,10200,5,1
5,StockLevel,1731100641.098434,2313,11,1
2,Payment,1731100641.099460,10618,1,1
2,Payment,1731100641.100443,9691,30,1
2,Payment,1731100641.101449,8723,21,1
1,NewOrder,1731100641.102458,3721,23,1
1,NewOrder,1731100641.103436,10416,25,1
2,Payment,1731100641.104439,9976,4,1
2,Payment,1731100641.105435,9256,22,1
1,NewOrder,1731100641.106435,20092,3,1
2,Payment,1731100641.107476,2446,12,1
2,Payment,1731100641.108435,12812,18,1
1,NewOrder,1731100641.109443,19826,17,1
1,NewOrder,1731100641.110472,20282,10,1
2,Payment,1731100641.111464,8389,15,1
2,Payment,1731100641.112487,11106,9,1
1,NewOrder,1731100641.113860,18396,25,1
5,StockLevel,1731100641.114698,3251,22,1
2,Payment,1731100641.115500,16989,31,1
3,OrderStatus,1731100641.116438,3325,2,1
1,NewOrder,1731100641.117464,7815,13,1
1,NewOrder,1731100641.118898,11142,14,1
1,NewOrder,1731100641.119691,11982,26,1
5,StockLevel,1731100641.120455,2405,16,1
2,Payment,1731100641.121446,17041,20,1
2,Payment,1731100641.122472,18837,8,1
1,NewOrder,1731100641.123454,4548,27,1
2,Payment,1731100641.124607,27731,11,1
2,Payment,1731100641.125446,27050,7,1
1,NewOrder,1731100641.126490,11544,23,1
2,Payment,1731100641.127461,25187,19,1
2,Payment,1731100641.128474,15453,0,1
1,NewOrder,1731100641.129435,12097,5,1
2,Payment,1731100641.130449,22075,28,1
1,NewOrder,1731100641.131468,12899,29,1
1,NewOrder,1731100641.132440,8523,12,1
1,NewOrder,1731100641.133448,14130,1,1
2,Payment,1731100641.134434,23940,30,1
1,NewOrder,1731100641.135435,9053,21,1
2,Payment,1731100641.136448,21722,4,1
1,NewOrder,1731100641.137444,14377,24,1
4,Delivery,1731100641.138459,5370,6,1
2,Payment,1731100641.139438,22914,22,1
2,Payment,1731100641.140431,22127,2,1
2,Payment,1731100641.141437,21625,15,1
2,Payment,1731100641.142434,9678,18,1
2,Payment,1731100641.143437,19172,16,1
2,Payment,1731100641.144435,18578,9,1
2,Payment,1731100641.145439,17076,13,1
2,Payment,1731100641.146431,16817,3,1
1,NewOrder,1731100641.147429,2989,27,1
2,Payment,1731100641.148428,14691,17,1
2,Payment,1731100641.149429,13415,14,1
3,OrderStatus,1731100641.150424,1156,27,1
2,Payment,1731100641.151432,11664,26,1
2,Payment,1731100641.152502,11906,7,1
2,Payment,1731100641.153443,11538,31,1
1,NewOrder,1731100641.154440,2845,23,1
2,Payment,1731100641.155459,9297,20,1
1,NewOrder,1731100641.156429,6275,12,1
2,Payment,1731100641.157428,7312,8,1
2,Payment,1731100641.158447,3622,5,1
2,Payment,1731100641.161273,8583,6,1
2,Payment,1731100641.161312,5428,0,1
1,NewOrder,1731100641.162075,5253,5,1
2,Payment,1731100641.162520,7066,13,1
2,Payment,1731100641.163460,5957,1,1
2,Payment,1731100641.164437,2043,10,1
2,Payment,1731100641.165492,7156,27,1
2,Payment,1731100641.166578,8269,24,1
2,Payment,1731100641.167434,7257,18,1
2,Payment,1731100641.168436,6304,11,1
2,Payment,1731100641.169437,2948,1,1
2,Payment,1731100641.170437,6505,28,1
2,Payment,1731100641.171426,5727,19,1
2,Payment,1731100641.172520,2021,23,1
2,Payment,1731100641.173439,5952,4,1
3,OrderStatus,1731100641.174434,1093,30,1
1,NewOrder,1731100641.175464,3538,22,1
2,Payment,1731100641.176438,6477,2,1
1,NewOrder,1731100641.177432,24971,16,1
2,Payment,1731100641.178433,10519,12,1
1,NewOrder,1731100641.179425,20773,29,1
1,NewOrder,1731100641.180432,12772,21,1
1,NewOrder,1731100641.181430,10975,14,1
1,NewOrder,1731100641.182436,10913,9,1
1,NewOrder,1731100641.183466,12238,15,1
1,NewOrder,1731100641.184585,14132,26,1
2,Payment,1731100641.185438,10421,17,1
2,Payment,1731100641.186463,9494,3,1
1,NewOrder,1731100641.187435,6688,7,1
2,Payment,1731100641.188598,7066,8,1
2,Payment,1731100641.189463,3294,20,1
2,Payment,1731100641.190459,9221,31,1
2,Payment,1731100641.191437,8611,10,1
1,NewOrder,1731100641.192443,9149,0,1
2,Payment,1731100641.193433,8560,5,1
2,Payment,1731100641.194434,7542,25,1
2,Payment,1731100641.195453,6550,13,1
1,NewOrder,1731100641.196434,4090,6,1
1,NewOrder,1731100641.197435,7813,1,1
3,OrderStatus,1731100641.198724,6034,26,1
2,Payment,1731100641.199687,2039,31,1
1,NewOrder,1731100641.200529,4247,6,1
2,Payment,1731100641.201449,2852,11,1
1,NewOrder,1731100641.202659,9372,24,1
1,NewOrder,1731100641.203439,8732,30,1
1,NewOrder,1731100641.204443,21369,28,1
2,Payment,1731100641.205443,1818,19,1
5,StockLevel,1731100641.206431,1361,22,1
2,Payment,1731100641.207437,4033,4,1
1,NewOrder,1731100641.208432,15899,2,1
1,NewOrder,1731100641.209434,5676,12,1
1,NewOrder,1731100641.210435,15490,14,1
2,Payment,1731100641.211435,3231,20,1
1,NewOrder,1731100641.212436,8486,21,1
1,NewOrder,1731100641.213431,16409,9,1
2,Payment,1731100641.214447,2606,7,1
1,NewOrder,1731100641.215452,16969,8,1
2,Payment,1731100641.216436,17820,15,1
1,NewOrder,1731100641.217451,5031,17,1
1,NewOrder,1731100641.218438,5576,3,1
1,NewOrder,1731100641.219435,5737,10,1
1,NewOrder,1731100641.220431,9453,27,1
1,NewOrder,1731100641.221434,16009,29,1
1,NewOrder,1731100641.222433,12173,23,1
1,NewOrder,1731100641.223429,15102,18,1
2,Payment,1731100641.224431,13502,0,1
4,Delivery,1731100641.225453,60907,31,1
2,Payment,1731100641.226433,11218,25,1
